TQ1,TQ2,TQ3,TQ4,TQ5,TQ6,TQ7,TQ8,TQ9,TQ10,TQ11,TQ12,TQ13,TQ14,TQ15,TQ16,TQ17,TQ18,TQ19,TQ20,TQ21,TQ22,TQ23,TQ24,TQ25,TQ26,TQ27,TQ28,TQ29,TQ30,TQ31,TQ32,TQ33,TQ34,TQ35,TQ36,TQ37,TQ38,TQ39,TQ40,TQ41,TQ42,TQ43,TQ44,TQ45,TQ46,TQ47,TQ48,TQ49,TQ50,TQ51,TQ52,TQ53,TQ54,TQ55,TQ56,TQ57,TQ58,TQ59,TQ60,TQ61,TQ62,TQ63,TQ64,TQ65,TQ66,TQ67,TQ68,TQ69,TQ70,Career
2,3,1,3,2,0,1,0,0,0,1,3,2,1,3,3,2,3,3,1,0,3,0,2,2,0,3,2,1,3,3,2,3,1,2,2,1,2,3,0,1,1,2,3,1,1,2,2,2,2,1,2,2,1,2,3,3,1,2,1,0,2,3,2,2,0,3,3,3,1,Business Analyst
3,1,0,0,0,3,0,2,3,0,1,3,1,3,1,1,0,3,0,0,0,2,1,2,1,2,3,0,1,0,0,1,3,3,0,2,1,3,0,0,0,3,0,2,3,1,3,2,1,1,2,3,2,0,0,0,2,1,3,1,0,0,2,0,2,0,3,3,1,1,Full Stack Developer
3,1,3,0,1,1,2,3,3,0,2,1,1,1,2,2,0,1,2,1,2,3,0,2,0,2,0,0,0,3,1,0,1,3,1,2,1,0,2,0,3,2,1,3,2,2,0,3,0,0,0,1,1,3,1,2,2,1,1,2,2,0,0,3,1,0,2,2,0,1,AI Researcher
1,1,0,1,3,1,2,3,3,1,2,2,0,1,2,1,3,1,2,2,2,1,3,0,0,0,3,1,0,2,0,1,2,1,3,3,1,2,3,0,3,3,1,1,1,3,2,2,1,0,2,1,3,1,0,3,3,2,3,1,2,3,1,3,3,3,0,0,2,1,Backend Developer
0,0,3,0,0,2,3,1,0,1,3,3,3,3,0,3,0,0,3,0,1,1,2,0,0,1,1,1,3,0,1,3,0,1,1,1,2,3,2,2,3,3,2,1,0,3,0,1,2,0,2,3,1,3,3,1,0,3,1,2,0,0,2,2,1,3,3,2,0,2,Backend Developer
0,1,2,1,3,3,2,2,0,1,3,2,0,0,0,1,0,0,2,2,2,2,3,1,0,2,1,3,0,2,2,3,0,3,3,3,2,1,1,2,0,3,1,0,2,2,2,1,1,1,1,3,0,2,1,0,2,0,2,1,1,1,3,2,3,3,2,0,3,2,AI Engineer
3,1,2,0,3,3,1,0,3,0,1,2,3,0,3,0,2,0,2,2,0,1,2,3,1,1,2,0,0,0,0,3,2,0,3,2,1,2,0,0,1,1,1,0,2,1,3,2,1,1,0,1,0,0,2,3,0,1,2,1,2,2,3,0,1,3,1,0,0,1,Backend Developer
0,1,2,0,2,2,0,3,0,0,1,3,2,2,2,2,1,3,3,1,1,0,2,0,3,0,3,3,2,1,0,2,1,1,0,3,3,0,0,0,3,2,1,1,2,3,2,1,1,2,3,1,3,2,3,0,3,3,1,3,0,3,2,0,1,0,2,2,0,1,Full Stack Developer
1,1,0,3,2,0,2,2,2,0,3,0,2,3,2,3,2,3,1,0,3,1,0,2,3,3,1,2,2,0,0,2,2,1,3,3,2,3,1,0,0,3,1,2,0,2,2,3,0,1,3,2,2,0,0,0,1,3,3,1,2,1,0,2,2,3,2,3,0,0,Backend Developer
2,1,3,3,0,3,1,2,3,0,1,1,0,3,3,0,0,3,3,2,1,3,2,0,0,0,0,0,3,2,0,2,0,1,0,0,1,2,3,0,3,1,3,2,0,0,0,0,3,2,0,1,3,1,1,3,2,3,3,1,0,2,0,3,1,2,1,0,2,3,AI Engineer
3,1,1,0,2,3,0,1,0,2,0,1,1,1,0,2,0,2,3,0,3,0,3,0,0,2,2,1,0,2,0,0,2,0,2,3,2,3,0,3,0,1,0,2,1,2,3,1,1,2,2,2,3,3,3,2,1,2,3,0,3,0,3,1,3,2,1,0,2,3,AI Engineer
1,2,3,0,0,0,2,3,1,1,3,0,2,2,2,3,2,3,3,3,0,0,3,3,3,3,1,0,2,1,0,2,3,1,1,1,2,0,0,1,3,3,2,3,1,2,0,2,3,1,0,1,1,2,0,2,2,1,0,3,3,3,1,1,0,2,0,3,3,3,Data Analyst
1,0,2,0,1,2,2,0,1,1,0,0,3,0,1,3,3,1,3,2,2,1,2,2,0,3,1,0,2,3,3,3,0,0,1,1,1,1,2,0,1,2,1,0,3,0,1,0,1,1,0,1,2,0,2,3,2,0,1,1,2,0,0,1,3,3,2,0,0,3,Backend Developer
3,0,3,2,3,1,2,1,0,2,0,0,2,0,2,1,3,1,0,1,0,0,2,2,3,1,3,2,1,1,1,0,2,1,2,3,3,1,0,3,2,1,1,0,1,2,1,1,2,3,0,3,1,1,0,0,2,1,1,0,3,1,1,0,2,1,0,1,1,2,AI Researcher
0,2,3,3,3,2,2,3,2,0,3,3,2,1,1,1,0,3,1,0,3,2,0,1,1,0,3,3,0,3,2,3,1,0,3,3,0,1,1,0,1,2,3,1,2,0,2,1,1,0,0,0,3,3,1,0,3,1,3,1,1,2,1,2,2,3,3,1,1,1,AI Engineer
1,0,3,3,3,1,3,1,1,3,3,3,3,1,2,3,2,3,0,3,0,1,0,2,0,1,2,0,2,3,3,2,0,3,0,1,3,1,1,3,3,2,0,2,0,2,3,1,3,0,3,1,3,0,1,2,0,0,3,2,3,1,0,1,0,1,1,2,0,0,Business Analyst
1,1,0,3,0,1,2,0,0,1,1,0,3,2,3,0,1,3,2,0,1,3,1,2,1,0,3,1,0,1,2,1,2,2,2,3,1,3,1,2,3,1,3,1,2,3,0,2,3,2,3,3,0,3,2,3,3,2,3,0,1,2,3,0,1,0,3,1,0,3,Backend Developer
2,1,1,2,3,1,0,0,1,3,2,0,1,0,3,1,2,3,3,1,0,3,3,0,2,2,3,2,1,2,1,2,3,3,1,0,1,2,0,3,3,3,2,2,3,2,3,2,1,3,1,2,2,0,2,1,3,3,1,0,3,0,0,0,0,3,3,2,3,2,Data Analyst
3,0,0,1,1,3,0,1,2,1,3,1,0,1,0,0,2,3,3,0,1,0,1,2,1,0,1,3,0,3,2,1,2,2,1,2,2,1,1,1,2,3,2,1,1,1,1,1,0,3,3,0,3,2,3,0,3,0,0,0,3,0,3,1,1,1,1,1,3,3,Full Stack Developer
3,3,1,3,2,2,1,0,3,0,0,0,1,2,2,0,1,1,0,1,2,3,1,3,0,2,3,2,0,3,1,2,2,3,0,3,1,1,0,1,0,0,2,2,0,3,3,0,3,0,3,0,3,0,3,0,3,2,1,2,0,3,2,1,3,1,3,0,1,3,Project Manager
2,2,3,2,1,2,2,0,1,1,3,3,0,1,3,2,0,3,1,1,0,2,1,2,0,3,1,1,1,3,2,3,0,0,2,3,0,2,3,3,1,0,2,0,2,1,1,3,3,0,2,3,2,0,0,2,2,1,1,1,2,3,3,0,1,1,2,0,0,2,Project Manager
3,3,3,2,1,0,0,3,1,1,3,1,2,0,2,2,3,3,1,0,3,3,2,1,3,0,3,1,1,0,1,0,1,3,3,2,0,0,0,0,2,2,1,2,3,3,0,3,0,3,0,3,1,2,3,1,1,1,0,3,2,1,2,1,2,1,2,0,1,2,Project Manager
0,3,0,1,1,1,1,2,2,3,0,2,2,1,2,3,0,0,3,3,3,0,0,2,0,1,2,3,0,2,2,0,2,2,1,2,2,1,2,3,0,0,0,0,1,0,0,2,1,0,2,1,2,1,1,2,3,2,0,2,2,3,2,3,1,0,1,2,0,2,Project Manager
1,3,1,0,3,1,3,0,3,2,2,2,0,2,1,3,2,1,3,1,2,1,3,0,3,1,2,3,3,2,0,0,3,0,0,0,1,3,0,1,0,1,3,3,3,3,3,0,1,3,3,3,2,0,0,3,1,2,2,0,1,2,1,3,1,1,1,3,2,3,Project Manager
3,1,0,2,2,2,0,0,0,2,0,0,0,3,1,1,3,1,3,0,2,0,2,0,1,1,1,1,0,2,0,1,1,0,0,0,0,3,0,3,2,3,3,0,2,3,1,3,2,2,3,0,0,3,3,2,2,1,1,2,1,0,2,0,0,0,3,3,1,3,Backend Developer
0,2,3,2,3,2,1,2,2,1,2,0,3,2,0,2,2,1,1,3,1,2,3,1,0,1,1,3,3,2,1,2,3,2,0,0,2,2,3,2,2,1,0,0,1,1,0,1,1,1,2,0,0,1,2,3,2,2,0,3,3,2,0,3,3,1,1,0,2,0,Project Manager
2,2,3,2,2,0,1,2,0,1,2,1,1,0,2,2,3,0,0,2,1,1,3,3,2,2,3,1,3,1,1,3,2,2,2,0,3,1,1,0,3,2,0,2,0,0,2,3,2,1,2,0,1,3,2,3,0,2,0,0,2,0,1,1,1,3,1,3,0,2,Project Manager
0,2,1,2,1,2,1,0,1,1,3,2,2,2,1,0,0,2,1,2,0,2,2,3,3,1,2,1,2,1,3,2,2,1,0,0,3,2,3,0,1,3,3,3,0,2,2,0,0,2,3,1,3,3,1,3,0,1,2,1,2,1,0,1,0,3,0,1,1,2,AI Researcher
2,3,0,2,2,2,2,1,1,3,1,2,1,3,0,2,2,2,3,1,2,1,1,1,2,0,3,0,1,1,3,1,3,0,2,0,3,1,2,0,1,2,0,0,1,2,0,1,3,1,2,3,3,1,1,3,1,3,1,3,0,2,3,2,0,2,0,0,0,0,Project Manager
1,1,0,1,1,2,3,3,2,3,1,2,1,2,0,2,0,2,0,3,1,3,2,1,0,3,1,0,3,1,3,2,0,3,2,1,0,1,2,3,0,2,1,3,1,3,0,2,2,1,1,0,1,2,3,3,2,1,0,1,1,1,2,1,0,0,1,2,1,0,Data Scientist
2,3,0,2,2,0,0,3,2,1,2,2,2,1,3,1,0,1,2,3,2,1,2,1,2,1,2,2,0,2,1,2,1,0,3,1,1,3,3,1,3,1,2,0,0,0,2,1,0,1,3,0,0,3,2,3,0,0,1,2,1,2,2,3,1,3,3,1,2,0,Backend Developer
2,0,2,1,3,2,1,1,3,0,2,3,1,1,2,0,0,3,3,1,3,3,2,0,3,2,2,1,0,3,1,2,2,0,2,3,1,0,2,3,2,0,1,0,1,2,3,1,3,2,3,3,3,3,1,2,3,2,2,2,2,1,3,3,2,1,3,3,0,2,Business Analyst
1,2,3,2,1,0,3,0,1,3,1,1,2,3,2,2,3,3,2,2,2,0,1,1,2,2,0,1,1,2,1,1,2,2,0,3,2,0,2,1,2,1,2,3,0,1,1,3,2,0,0,0,1,1,1,3,0,3,1,3,3,0,0,2,3,3,2,0,3,0,Project Manager
0,0,2,2,3,2,2,2,2,2,0,0,0,2,2,1,1,2,0,1,2,0,1,2,0,1,2,2,0,1,1,3,3,1,3,2,2,2,1,0,1,1,2,2,1,2,1,1,3,2,0,2,3,3,0,3,2,2,0,3,0,3,2,3,0,3,2,3,2,2,AI Engineer
1,0,3,3,1,0,2,3,3,2,2,3,1,1,0,2,1,2,2,2,0,2,0,1,2,2,0,2,0,1,2,3,3,2,3,1,3,1,3,3,0,1,3,1,0,3,0,2,2,2,1,3,3,1,2,1,2,0,1,3,2,1,0,3,3,2,3,2,3,2,AI Researcher
3,1,0,3,0,1,0,1,0,2,2,2,1,0,1,2,0,0,0,0,0,2,1,1,0,3,2,2,3,0,3,2,2,3,3,2,2,2,1,2,3,1,2,0,1,1,3,1,0,2,2,3,0,3,0,0,2,2,0,2,0,3,3,1,0,0,0,3,2,2,Data Analyst
1,2,3,0,2,0,2,1,3,2,2,1,0,1,2,2,3,0,2,3,1,0,3,0,2,0,0,0,0,2,1,0,1,1,1,3,3,3,3,2,2,1,1,0,0,2,3,3,1,2,1,1,3,1,0,3,2,2,2,2,1,1,1,0,1,1,0,0,1,2,Backend Developer
3,1,0,1,2,2,3,2,0,3,3,3,3,2,3,2,1,2,2,1,0,2,3,0,0,2,3,0,2,1,1,2,1,1,0,1,0,2,3,0,1,3,2,0,1,3,0,0,0,3,0,1,0,3,1,0,3,0,3,2,2,3,0,3,1,1,1,3,3,0,AI Engineer
3,3,0,0,2,0,0,1,0,2,0,3,3,1,3,3,2,0,1,1,1,0,3,2,1,3,2,3,3,2,2,3,3,2,3,1,2,0,3,3,0,1,3,2,3,3,1,2,3,1,0,0,1,2,2,1,0,0,0,0,0,2,0,1,3,2,2,1,3,1,Backend Developer
0,0,1,0,0,2,2,0,0,3,1,2,0,1,3,0,0,1,2,1,1,2,1,0,1,1,3,1,1,3,3,0,2,1,3,0,0,1,1,2,1,2,0,1,0,1,0,0,0,0,2,0,0,2,1,2,1,2,3,3,2,1,1,1,2,3,2,3,0,3,AI Researcher
2,2,0,3,1,2,0,2,1,2,2,3,2,3,3,0,3,2,3,1,2,3,1,1,0,0,2,0,3,1,3,0,1,2,2,3,3,1,1,2,3,0,3,0,1,1,2,1,2,2,2,2,3,3,3,0,3,0,0,3,0,0,3,0,3,3,0,3,3,1,Business Analyst
2,2,0,3,0,0,2,3,0,3,1,2,3,1,3,0,3,2,3,3,1,1,2,2,2,3,2,2,0,1,1,0,1,3,0,2,3,0,0,3,0,3,1,1,2,0,0,1,2,0,1,1,1,0,0,2,3,2,0,0,3,2,2,0,2,0,2,2,1,3,Full Stack Developer
1,1,2,2,3,3,1,0,2,2,3,0,3,1,0,0,2,1,1,1,1,0,1,1,2,2,0,0,2,1,2,1,2,2,0,0,1,3,3,1,2,2,1,3,3,2,0,2,3,1,0,2,1,2,3,2,2,0,0,2,3,1,2,3,1,2,3,2,0,0,Data Scientist
0,3,3,0,0,1,1,0,0,3,0,0,2,3,3,0,0,2,3,0,0,1,0,2,3,2,1,1,1,1,0,1,0,0,3,0,2,0,3,2,3,0,2,2,3,3,0,1,3,0,2,1,2,3,0,0,0,1,1,0,3,2,2,2,1,1,0,3,0,1,Data Analyst
0,0,2,3,0,2,3,2,0,0,0,1,3,3,0,0,3,1,3,0,2,1,0,0,2,1,1,1,0,0,3,3,1,0,1,0,1,3,3,1,0,0,3,1,3,3,3,0,1,0,2,1,1,3,0,0,2,0,2,1,0,1,1,1,3,2,2,2,3,0,Data Analyst
2,2,3,2,1,2,0,3,1,0,2,1,1,0,0,3,2,1,0,0,2,2,0,2,1,2,1,3,2,3,3,2,3,1,2,0,1,1,0,2,2,2,1,1,0,0,2,0,2,3,1,3,0,1,3,3,0,1,3,2,2,1,0,1,2,0,0,1,3,1,Data Scientist
2,0,1,0,1,3,2,3,2,2,0,3,1,2,2,0,2,2,3,1,3,0,1,3,3,3,0,0,1,1,2,3,1,1,2,1,1,1,0,1,1,1,0,2,0,1,0,3,0,2,0,3,2,3,2,2,3,0,1,0,3,1,0,1,2,0,0,3,1,1,Project Manager
0,0,1,1,3,2,1,1,1,0,1,2,3,0,0,0,1,2,0,1,0,3,3,0,2,3,2,1,3,2,0,2,0,0,2,0,1,0,1,3,0,2,0,1,1,0,1,2,0,3,0,1,2,3,3,0,2,3,2,2,2,0,2,0,3,3,0,2,1,1,Project Manager
3,1,2,0,1,2,1,1,3,1,2,1,2,3,1,2,2,1,1,1,0,3,2,2,3,0,0,2,1,0,2,0,2,2,3,3,2,1,0,1,1,2,0,1,2,2,0,0,0,3,3,1,3,1,1,1,3,2,1,1,2,3,1,3,1,0,3,2,2,3,AI Researcher
2,3,0,1,3,0,2,0,2,0,1,3,3,3,1,0,0,1,1,1,3,3,2,3,1,0,2,2,2,1,2,3,0,3,2,0,0,2,1,1,0,3,0,3,2,3,0,2,0,1,2,2,0,2,1,3,1,0,0,2,1,0,3,0,3,0,0,1,3,0,Project Manager
3,3,2,0,1,2,0,3,3,2,2,2,3,0,0,3,1,3,3,0,0,1,1,1,0,2,1,2,1,3,0,2,0,3,2,1,3,3,3,3,1,0,0,2,2,1,1,0,1,2,1,1,0,0,2,2,0,0,0,2,0,0,1,1,2,1,0,3,0,3,Data Scientist
1,1,1,1,2,1,2,0,1,2,0,0,0,3,2,3,3,1,2,3,2,2,2,3,0,2,1,2,2,0,0,2,0,2,0,1,0,3,2,2,2,1,0,0,0,2,3,3,1,0,1,0,3,1,1,0,1,1,1,3,0,1,0,2,0,1,0,3,0,1,Data Scientist
1,3,2,2,1,0,3,2,1,3,1,2,3,3,1,3,1,2,1,2,2,2,3,2,1,1,3,0,0,3,1,0,0,1,3,1,0,3,0,3,2,1,1,2,3,0,1,1,3,0,3,0,1,1,0,3,3,3,0,3,3,3,0,1,1,0,3,0,0,0,AI Researcher
0,2,1,3,0,3,0,2,2,1,0,3,1,0,1,1,0,0,2,3,1,1,3,2,2,3,0,1,2,0,2,2,0,0,1,0,2,0,2,2,2,0,2,1,2,2,3,1,1,3,3,0,3,1,0,0,3,2,3,1,2,3,1,1,3,0,2,1,1,3,AI Researcher
2,0,3,1,2,3,3,0,3,3,1,1,0,1,2,3,1,3,1,2,2,0,3,1,0,0,1,1,3,1,3,1,0,1,0,1,2,3,3,3,1,1,3,2,1,3,2,2,2,2,3,1,0,3,3,3,3,1,0,1,2,0,1,2,1,3,3,0,3,1,Data Scientist
1,2,2,1,1,0,1,2,0,3,3,2,2,1,2,0,2,1,2,0,1,1,2,0,2,2,3,1,2,3,0,0,2,2,0,0,0,2,0,3,1,0,1,3,3,2,1,3,0,3,2,0,0,1,3,2,0,1,3,3,1,2,0,2,2,3,3,2,1,1,Full Stack Developer
0,2,0,3,3,1,0,3,2,1,2,2,3,0,2,2,3,0,1,0,2,3,3,3,3,1,3,3,0,3,2,1,3,1,1,0,3,0,0,1,3,2,2,1,3,3,0,3,1,3,1,2,3,1,0,0,2,0,3,0,3,1,2,2,3,3,1,3,3,3,Data Scientist
0,0,2,2,1,0,3,0,1,3,2,2,3,3,0,3,0,1,0,3,0,2,0,1,1,1,2,0,3,3,0,0,3,0,1,3,2,3,2,2,0,3,3,3,2,3,3,0,2,3,1,3,2,2,1,1,2,1,0,0,0,1,2,2,1,2,3,2,1,3,Data Analyst
2,0,2,2,0,1,0,1,0,1,2,1,1,3,1,2,1,2,0,1,0,1,1,1,2,3,2,2,0,3,0,2,2,0,3,3,1,0,3,1,1,2,0,1,3,1,2,0,2,0,1,1,0,2,3,3,1,1,3,0,2,1,0,0,3,2,3,0,2,0,Business Analyst
1,0,3,3,3,2,3,0,0,3,0,1,2,2,0,3,1,3,3,2,2,2,2,0,3,0,0,2,2,3,2,2,2,3,0,0,2,1,2,0,1,0,1,2,0,3,0,1,0,3,2,1,3,0,0,1,0,0,2,0,0,1,1,2,1,0,3,2,2,2,Data Scientist
3,2,3,2,2,2,1,3,1,1,0,1,1,0,3,1,0,1,1,2,2,3,3,3,3,3,3,0,0,2,1,0,2,3,0,3,1,0,3,1,2,3,3,1,3,1,0,2,3,0,0,0,2,0,0,0,3,1,3,1,1,3,3,1,2,0,2,2,0,2,Project Manager
1,3,2,2,1,3,1,3,0,3,1,3,2,0,0,3,3,0,3,1,3,2,3,0,1,0,3,3,2,1,0,0,0,2,0,2,2,2,2,2,1,2,3,3,1,2,0,3,1,1,1,0,3,3,1,3,0,2,0,2,1,0,1,0,2,1,2,3,1,3,Backend Developer
3,0,2,0,3,1,2,3,0,1,0,3,3,1,0,2,2,2,2,3,0,0,1,2,0,3,3,3,3,3,3,2,0,2,0,3,3,2,1,3,0,1,3,0,2,3,0,1,3,0,0,1,2,1,2,1,3,1,1,0,0,3,3,1,2,0,3,3,0,1,AI Engineer
2,2,0,2,1,2,0,0,1,1,0,1,1,2,2,3,3,1,3,0,1,3,0,0,1,0,3,2,2,3,1,0,3,1,2,0,3,2,0,2,3,2,3,0,2,2,0,2,1,1,0,2,1,1,0,1,2,3,0,2,1,2,3,3,0,2,3,0,3,3,Business Analyst
3,1,2,3,3,0,1,0,0,2,2,2,1,3,2,3,0,2,0,0,0,1,3,0,0,1,1,1,2,0,0,2,3,0,2,3,2,0,1,2,0,0,1,1,2,0,1,3,1,2,3,2,0,3,1,3,0,0,1,2,1,1,3,3,3,1,3,3,2,2,Project Manager
0,2,0,2,3,0,2,0,3,1,2,0,2,2,0,0,2,0,0,3,3,2,1,2,0,2,1,2,1,1,1,0,1,2,0,2,0,3,0,0,1,2,2,3,3,2,2,1,2,2,3,2,3,2,3,3,3,2,1,3,3,0,2,1,3,0,3,3,2,0,AI Researcher
2,1,1,3,0,0,3,1,3,3,1,1,3,1,1,2,3,0,3,1,2,3,2,3,0,3,1,0,0,3,0,3,1,3,0,1,0,1,3,1,2,1,1,1,3,1,2,0,3,1,3,0,0,1,1,0,1,3,3,3,3,0,1,2,3,0,2,1,2,0,Data Scientist
3,2,1,2,1,3,2,2,0,0,2,3,1,3,2,2,3,2,2,2,1,3,3,1,2,2,2,0,0,3,1,0,1,0,0,2,3,0,3,3,1,0,2,1,0,1,0,2,2,3,2,0,1,0,0,1,1,0,1,1,2,1,3,2,1,2,0,2,2,1,Data Scientist
1,0,2,2,2,2,3,0,1,3,3,3,1,1,0,3,3,3,0,1,1,3,0,3,3,2,0,3,3,3,0,3,0,3,2,3,1,0,3,0,3,0,2,2,0,1,2,3,3,1,1,3,2,3,1,2,3,3,1,2,2,3,2,2,0,0,1,1,2,2,AI Researcher
0,2,0,0,0,1,0,3,2,0,3,2,3,2,2,1,0,0,2,0,2,2,3,3,1,3,2,2,0,0,0,3,3,0,0,0,2,1,0,3,3,1,2,1,3,3,2,0,2,2,0,2,1,0,0,1,0,1,3,1,1,1,0,1,0,1,1,2,1,1,Business Analyst
0,0,3,0,1,2,1,2,3,2,3,1,0,2,3,3,0,0,2,3,2,3,0,2,0,2,3,0,0,2,1,2,1,0,3,1,0,2,3,2,1,2,0,2,0,0,1,0,3,0,2,1,0,2,2,3,3,2,2,1,3,1,2,2,2,0,0,0,2,1,Business Analyst
3,3,0,2,1,1,2,2,1,3,3,0,1,0,2,0,3,1,0,0,0,1,0,0,1,0,3,1,0,3,1,0,1,0,2,3,0,1,0,2,1,1,1,0,1,0,2,2,3,0,3,3,3,1,0,3,3,0,1,1,0,0,1,2,2,2,1,2,0,3,Project Manager
3,0,3,2,2,0,3,0,1,1,2,1,3,1,1,0,2,3,1,3,3,0,0,2,0,2,1,1,3,2,2,2,1,3,1,3,2,0,3,3,1,1,3,2,3,2,1,1,2,1,0,2,2,3,0,1,0,0,3,1,1,3,1,3,0,2,0,3,1,3,Backend Developer
3,2,0,3,0,3,1,0,2,2,2,3,2,1,0,2,1,1,0,2,1,1,2,1,3,0,3,2,1,3,3,2,0,2,2,2,2,3,1,1,0,0,3,2,2,0,2,1,3,0,3,0,1,3,3,1,0,3,3,0,3,0,3,3,1,0,2,1,3,3,AI Researcher
2,1,3,2,3,0,0,0,3,2,0,2,2,2,0,1,0,3,0,1,2,2,0,3,0,3,0,0,1,1,3,0,1,1,3,2,3,3,1,3,0,2,3,1,0,3,1,0,0,3,0,2,2,1,3,2,1,0,2,3,3,0,0,1,1,2,2,0,1,2,AI Engineer
0,0,0,0,2,1,2,2,0,3,3,2,2,3,0,3,0,1,2,1,3,2,1,2,2,3,2,0,3,0,3,1,3,0,2,1,0,1,0,2,1,2,1,1,1,3,3,2,0,1,1,1,1,1,2,0,3,0,2,2,2,1,2,0,2,2,0,1,2,3,Full Stack Developer
0,2,3,0,1,2,1,2,0,1,3,2,0,1,0,1,3,2,1,1,1,0,3,2,3,1,3,1,2,3,2,1,3,3,3,1,0,3,2,3,0,1,3,2,0,3,0,0,0,3,1,3,3,0,0,0,0,3,2,0,2,1,0,1,2,2,0,2,3,1,Business Analyst
1,2,3,1,1,1,0,3,1,2,0,1,2,1,1,0,1,1,1,2,1,1,1,0,0,0,0,1,1,0,0,3,0,1,1,0,2,2,0,1,2,2,1,1,1,0,0,0,1,0,1,3,1,0,0,1,0,2,0,1,0,1,2,1,0,0,2,3,3,3,Business Analyst
3,3,3,0,3,3,0,1,0,1,0,1,2,1,1,2,0,0,2,3,3,1,2,0,0,2,0,3,0,0,2,1,3,2,2,3,1,2,0,2,1,1,0,3,2,2,2,0,0,1,1,3,0,1,3,1,2,3,1,3,2,2,2,1,1,1,0,3,1,0,Backend Developer
3,2,0,1,3,3,2,0,1,3,0,1,1,1,0,3,3,1,2,0,1,3,0,2,1,2,3,1,3,2,0,0,0,3,2,1,2,0,2,1,3,0,2,0,1,1,0,3,2,2,1,1,0,2,1,1,3,2,3,3,1,2,1,2,1,0,1,3,1,2,AI Researcher
0,3,2,3,1,2,0,3,3,1,1,2,1,3,0,0,1,2,0,3,0,2,3,2,0,0,2,1,1,1,3,3,1,3,2,2,0,2,1,3,1,1,3,3,2,0,2,3,0,2,1,0,2,0,0,3,3,2,3,2,1,1,2,1,0,1,3,3,2,3,AI Researcher
1,3,2,0,1,1,0,0,1,0,2,3,0,3,3,0,1,0,1,2,0,2,0,1,2,3,1,0,3,2,0,1,0,1,2,3,0,1,2,2,2,3,2,2,3,0,0,2,1,0,3,3,3,3,3,2,0,0,3,1,0,1,1,0,0,0,2,2,3,1,Backend Developer
1,2,3,3,2,3,3,1,1,2,0,3,0,1,1,3,1,3,3,0,0,1,3,1,0,1,1,3,2,3,1,2,2,3,1,3,2,2,3,3,1,3,2,3,2,1,2,0,1,3,2,0,2,1,3,3,2,1,2,1,1,0,3,1,2,0,1,1,3,2,Data Scientist
0,2,3,0,3,2,3,0,1,0,0,0,0,1,3,2,0,1,0,2,2,3,1,1,0,2,3,3,1,3,0,2,2,1,0,1,0,3,2,1,3,3,1,2,1,1,1,3,3,1,0,1,3,2,3,2,1,1,2,0,1,1,3,3,3,3,1,0,0,2,AI Researcher
0,0,2,2,3,0,0,3,1,2,0,1,1,3,2,0,1,2,0,1,0,1,1,3,0,1,0,3,3,0,2,2,0,3,2,0,2,0,0,2,1,1,3,1,3,2,0,0,3,3,2,0,3,1,3,2,3,2,0,3,2,1,0,2,0,2,3,1,1,2,AI Engineer
3,2,3,3,0,0,2,1,0,3,3,0,2,3,1,0,2,0,2,3,0,1,1,2,2,1,2,3,1,0,3,1,3,2,1,2,1,3,1,3,2,0,3,2,3,3,0,0,3,2,0,3,2,3,3,0,0,0,3,0,1,0,1,1,0,1,0,2,1,0,Backend Developer
2,1,2,1,1,3,3,2,0,0,3,1,3,1,3,3,0,3,2,3,1,0,3,0,0,1,3,2,0,3,0,2,2,1,3,1,3,2,1,2,2,1,3,3,0,0,0,1,2,3,0,1,3,2,1,2,0,2,0,2,3,2,3,0,2,3,0,1,1,2,Project Manager
2,1,2,1,2,1,1,1,1,0,3,1,0,1,2,2,3,0,3,3,1,3,2,3,3,1,1,0,1,3,1,3,1,3,3,1,0,0,3,2,1,3,2,1,1,0,1,2,0,3,1,3,2,1,0,3,3,1,1,2,0,0,0,3,3,3,2,1,1,0,Full Stack Developer
1,3,3,3,0,0,2,1,1,1,2,3,0,0,0,0,3,0,1,3,2,3,2,2,1,2,1,3,0,1,0,1,1,1,0,3,1,0,2,3,3,1,2,0,1,2,1,2,0,1,0,3,3,1,0,1,1,2,1,3,2,3,3,3,0,0,3,2,0,1,AI Engineer
1,2,1,2,0,3,0,0,0,2,1,0,3,2,3,0,3,1,1,2,3,1,3,1,0,0,0,2,2,3,0,2,0,3,0,0,0,3,0,3,0,2,3,1,3,0,3,1,2,0,0,3,3,2,1,1,0,1,2,3,0,1,3,2,1,0,3,1,2,3,AI Researcher
1,2,2,2,3,2,0,0,2,2,3,2,0,3,0,3,0,3,1,1,3,1,2,2,1,1,3,1,0,1,0,2,2,2,1,3,2,0,3,0,3,1,2,3,3,3,0,0,3,0,1,1,2,0,2,0,1,1,1,3,0,1,3,1,0,3,0,2,3,1,Data Analyst
1,0,1,0,0,2,1,3,1,0,0,2,2,1,0,3,2,2,0,1,3,1,0,3,0,1,3,2,3,0,2,1,3,2,2,2,1,0,2,1,2,1,2,2,1,3,1,1,0,1,3,2,0,0,0,2,2,0,0,1,0,2,0,2,0,1,2,0,2,2,Full Stack Developer
